category,param_name,base_value,unit,min_value,max_value,source
# BtoB営業パラメータ
btob,sales_person_count,1,人,1,2,現状想定（杉田さん）
btob,monthly_salary,400000,円/月,350000,500000,業界相場
btob,monthly_visits,20,件/月,15,30,週5件×4週
btob,visit_cost,3000,円/件,2000,5000,交通費+サンプル
btob,conversion_rate,0.10,率,0.05,0.20,飲食店営業実績
btob,avg_annual_deal,1200000,円/年,600000,2400000,月10万×12ヶ月
btob,retention_rate,0.80,率,0.60,0.90,BtoB継続率
btob,customer_lifetime,36,月,24,48,平均取引継続期間
# EEZO（EC）パラメータ
eezo,partner_stores,10,店舗,5,20,初年度目標
eezo,monthly_qr_scans,1000,回/月,500,2000,全店舗合計
eezo,cvr_qr_to_purchase,0.08,率,0.05,0.12,ワイナリー実績ベース
eezo,customer_unit_price,8000,円,5000,12000,戦略レポート目標
eezo,repeat_rate_3m,0.25,率,0.15,0.40,戦略レポート目標
eezo,avg_purchase_frequency,2.5,回/年,1.5,4.0,リピート含む
eezo,customer_lifetime,24,月,12,36,EC顧客継続期間
# コスト：BtoB営業
cost_btob,fixed_monthly,400000,円/月,350000,500000,人件費
cost_btob,variable_per_deal,30000,円/件,20000,50000,契約事務・初期対応
cost_btob,sample_cost,5000,円/訪問,3000,8000,試食サンプル
# コスト：EEZO運営
cost_eezo,platform_fee,50000,円/月,30000,80000,システム維持費
cost_eezo,ad_budget,300000,円/月,100000,500000,デジタル広告
cost_eezo,shipping_per_order,1200,円/件,800,1500,配送費
cost_eezo,packing_per_order,300,円/件,200,500,梱包資材
cost_eezo,commission_rate,0.15,率,0.10,0.20,店舗インセンティブ
# コスト：同時並行モデル追加
cost_combined,store_setup_cost,50000,円/店舗,30000,80000,QR設置・説明費用
cost_combined,monthly_incentive_per_store,30000,円/月/店舗,20000,50000,店舗維持インセンティブ
cost_combined,coordination_cost,100000,円/月,50000,150000,連携管理工数
# シナジー効果パラメータ
synergy,btob_cvr_boost,1.2,倍,1.0,1.5,EC連携による成約率UP
synergy,eezo_cvr_boost,1.3,倍,1.0,1.5,店舗体験によるCVR UP
synergy,ltv_multiplier,1.25,倍,1.0,1.5,クロスセル効果
synergy,cac_efficiency,0.85,倍,0.70,1.0,重複コスト削減
